"Participant","Condition","RT","Error","Frequency"
1,"Speed",0.7,0,"Low"
1,"Speed",0.392,1,"Very Low"
1,"Speed",0.46,0,"Very Low"
1,"Speed",0.455,0,"Very Low"
1,"Speed",0.505,1,"Low"
1,"Speed",0.773,0,"High"
1,"Speed",0.39,0,"High"
1,"Speed",0.587,1,"Low"
1,"Speed",0.603,0,"Low"
1,"Speed",0.435,0,"High"
1,"Speed",0.524,0,"Very Low"
1,"Speed",0.427,0,"High"
1,"Speed",0.456,0,"Very Low"
1,"Speed",0.622,0,"High"
1,"Speed",0.441,0,"High"
1,"Speed",0.701,0,"Low"
1,"Speed",0.308,1,"High"
1,"Speed",0.696,0,"Very Low"
1,"Speed",0.489,0,"Low"
1,"Speed",0.407,0,"Very Low"
1,"Speed",0.436,0,"High"
1,"Speed",0.44,0,"Very Low"
1,"Speed",0.412,0,"High"
1,"Speed",0.421,0,"Low"
1,"Speed",0.602,0,"Low"
1,"Speed",0.485,1,"High"
1,"Speed",0.524,0,"Very Low"
1,"Speed",0.578,0,"High"
1,"Speed",0.431,0,"High"
1,"Speed",0.631,0,"Low"
1,"Speed",0.495,0,"Low"
1,"Speed",0.436,0,"Low"
1,"Speed",0.488,0,"Low"
1,"Speed",0.426,0,"High"
1,"Speed",0.539,0,"High"
1,"Speed",0.534,0,"Very Low"
1,"Speed",0.431,0,"High"
1,"Speed",0.514,0,"Very Low"
1,"Speed",0.455,0,"High"
1,"Speed",0.744,1,"Very Low"
1,"Speed",0.603,0,"Low"
1,"Speed",0.577,0,"Low"
1,"Speed",0.559,0,"Very Low"
1,"Speed",0.411,0,"Very Low"
1,"Speed",0.573,0,"Very Low"
1,"Speed",0.519,0,"Very Low"
1,"Speed",0.597,0,"Very Low"
1,"Speed",0.622,0,"High"
1,"Speed",0.495,1,"Low"
1,"Speed",0.455,0,"High"
1,"Speed",0.456,0,"Low"
1,"Speed",0.438,0,"Very Low"
1,"Speed",0.387,0,"High"
1,"Speed",0.48,0,"Low"
1,"Speed",0.362,0,"High"
1,"Speed",0.603,0,"High"
1,"Speed",0.479,1,"Low"
1,"Speed",0.984,0,"Very Low"
1,"Speed",0.82,1,"Very Low"
1,"Speed",0.585,0,"Low"
1,"Speed",0.475,0,"High"
1,"Speed",0.597,0,"Low"
1,"Speed",0.563,0,"Low"
1,"Speed",0.412,0,"High"
1,"Speed",0.504,0,"High"
1,"Speed",0.47,0,"Low"
1,"Speed",0.627,0,"Very Low"
1,"Speed",0.406,0,"Low"
1,"Speed",0.563,0,"Very Low"
1,"Speed",0.451,0,"Very Low"
1,"Speed",0.45,0,"Low"
1,"Speed",0.412,0,"Very Low"
1,"Speed",0.494,0,"High"
1,"Speed",0.549,0,"Low"
1,"Speed",0.411,0,"High"
1,"Speed",0.441,1,"Very Low"
1,"Speed",0.852,0,"Very Low"
1,"Speed",0.521,0,"High"
1,"Speed",0.652,0,"High"
1,"Speed",0.696,1,"Very Low"
1,"Speed",0.675,0,"High"
1,"Speed",0.363,1,"Low"
1,"Speed",0.489,1,"Low"
1,"Speed",0.436,0,"Low"
1,"Speed",0.436,0,"Low"
1,"Speed",0.426,0,"Very Low"
1,"Speed",0.441,0,"Very Low"
1,"Speed",0.475,0,"High"
1,"Speed",0.729,1,"Low"
1,"Speed",0.505,1,"High"
1,"Speed",0.734,0,"Low"
1,"Speed",0.48,0,"Very Low"
1,"Speed",0.441,0,"Low"
1,"Speed",0.445,0,"Very Low"
1,"Speed",0.49,0,"Very Low"
1,"Speed",0.602,0,"High"
1,"Accuracy",0.543,0,"Low"
1,"Accuracy",0.406,0,"High"
1,"Accuracy",0.47,0,"Low"
1,"Accuracy",0.441,0,"Low"
1,"Accuracy",0.451,0,"High"
1,"Accuracy",0.401,0,"High"
1,"Accuracy",0.48,0,"Very Low"
1,"Accuracy",0.465,0,"Low"
1,"Accuracy",0.47,1,"Very Low"
1,"Accuracy",0.923,0,"Very Low"
1,"Accuracy",0.671,0,"Very Low"
1,"Accuracy",0.602,0,"Very Low"
1,"Accuracy",0.661,0,"Low"
1,"Accuracy",0.847,0,"High"
1,"Accuracy",0.651,0,"Very Low"
1,"Accuracy",1.332,1,"Very Low"
1,"Accuracy",0.575,0,"High"
1,"Accuracy",0.593,0,"Low"
1,"Accuracy",0.661,0,"Very Low"
1,"Accuracy",1.018,0,"High"
1,"Accuracy",0.627,0,"Very Low"
1,"Accuracy",0.499,0,"Low"
1,"Accuracy",0.813,0,"Low"
1,"Accuracy",0.539,0,"Low"
1,"Accuracy",0.812,0,"High"
1,"Accuracy",0.431,0,"High"
1,"Accuracy",0.642,1,"High"
1,"Accuracy",0.477,0,"High"
1,"Accuracy",0.534,0,"High"
1,"Accuracy",0.778,0,"Low"
1,"Accuracy",0.49,0,"Very Low"
1,"Accuracy",0.46,0,"Low"
1,"Accuracy",0.48,0,"Low"
1,"Accuracy",0.588,1,"Very Low"
1,"Accuracy",0.707,0,"High"
1,"Accuracy",0.461,0,"Very Low"
1,"Accuracy",0.51,0,"Low"
